رقمالإستمارة,إسم المالك,التاريخ,الكمية المرحلة بالجرام,الولاية,الرمز
RN/253,أعمال بانوراما للإستيراد والتصدير,25/06/2024,36525.6,نهر النيل,24
RN/254,شركة دان للأعمال المتقدمة,25/06/2024,48962,نهر النيل,21
RN/255,أعمال علي محمد إبراهيم التوم التجارية,26/06/2024,11338.7,نهر النيل,8
RN/256,أعمال علي محمد إبراهيم التوم التجارية,26/06/2024,3782.4,نهر النيل,8
RN/257,شركة مأمور كومرا للأنشطة المتعددة,27/06/2024,9844.9,نهر النيل,10
RN/258,شركة المنجز للإستيراد والتصدير,27/06/2024,48201.4,نهر النيل,5
RN/259,أعمال بنوراما للإستيراد والتصدير,30/06/2024,41181.2,نهر النيل,24
RN/260,شركة المنجز للإستيراد والتصدير,30/06/2024,23434.7,نهر النيل,5
RN/261,أعمال علي محمد إبراهيم التجارية,01/07/2024,14334.5,نهر النيل,8
RN/262,شركة مراسي للأنشطة المتعددة,02/07/2024,37543.6,نهر النيل,25
RN/263,شركة أي كوم التجارية المحدودة,02/07/2024,47392.5,نهر النيل,7
RN/264,شركة مراسي للأنشطة المتعددة,03/07/2024,50128.9,نهر النيل,25
RN/265,شركة المنجز للإستيراد والتصدير,03/07/2024,13106.3,نهر النيل,5
RN/266,أعمال علي محمد إبراهيم التجارية,07/07/2024,50513.3,نهر النيل,8
RN/267,شركة مراسي للأنشطة المتعددة,08/07/2024,50272.7,نهر النيل,25
RN/268,شركة مراسي للأنشطة المتعددة,09/07/2024,71512.8,نهر النيل,25
RN/269,شركة أي كوم التجارية المحدودة,09/07/2024,38244.4,نهر النيل,7
RN/270,شركة أي كوم التجارية المحدودة,09/07/2024,23832.8,نهر النيل,7
RN/271,شركة مراسي للأنشطة المتعددة,09/07/2024,31972.3,نهر النيل,25
RN/272,أعمال علي محمد إبراهيم التجارية,10/07/2024,23883.8,نهر النيل,8
RN/273,شركة مراسي للأنشطة المتعددة,13/07/2024,34055.8,نهر النيل,25
RN/274,شركة مراسي للأنشطة المتعددة,13/07/2024,43374.1,نهر النيل,25
RN/275,شركة أي كوم للتجارة,14/07/2024,56952.5,نهر النيل,7
RN/276,شركة أعمال التعدين المتقدمة,14/07/2024,12945.4,نهر النيل,15
RN/277,أعمال بانوراما للإستيراد والتصدير,15/07/2024,30248.4,نهر النيل,24
RN/278,شركة المنجز للإستيراد والتصدير,15/07/2024,30365,نهر النيل,5
