رقمالإستمارة,إسم المالك,التاريخ,الكمية المرحلة بالجرام,الولاية,الرمز
RS/161,أعمال بانوراما للإستيراد والتصدير,09/07/2024,6891.4,البحر الأحمر,24
RS/162,الشركة الفيصلية المحدودة,09/07/2024,1653.3,البحر الأحمر,6
RS/163,أعمال أي كوم التجارية,11/07/2024,12044,البحر الأحمر,7
RS/164,شركة أبويزن للأنشطة المتعددة,14/07/2024,361.3,البحر الأحمر,34
RS/165,شركة إي دي جي للتجارة العامة المحدودة,15/07/2024,13284.1,البحر الأحمر,54
RS/166,شركة شاهقات العالمية للإستثمار المحدودة,15/07/2024,14775.8,البحر الأحمر,27
RS/167,شركة أعمال التعدين المتقدمة,16/07/2024,1968.4,البحر الأحمر,15
RS/168,أعمال شاركليز التجارية,16/07/2024,5077.4,البحر الأحمر,11
RS/169,أعمال بنوراما للإستيراد والتصدير,16/07/2024,31287.6,البحر الأحمر,24
RS/170,شركة تيتان العالمية المحدودة,17/07/2024,5270.2,البحر الأحمر,28
RS/171,أعمال شاركليز التجارية,21/07/2024,1271.6,البحر الأحمر,11
RS/172,الشركة الفيصلية المحدودة,21/07/2024,7338.5,البحر الأحمر,6
RS/173,أعمال بانوراما للإستيراد والتصدير,21/07/2024,8939.4,البحر الأحمر,24
RS/174,شركة أعمال التعدين المتقدمة المحدودة,22/07/2024,2530.5,البحر الأحمر,15
RS/175,شركة أعمال التعدين المتقدمة المحدودة,22/07/2024,4218.5,البحر الأحمر,15
RS/176,شركة الأفق الذهبية التجارية المحدودة,22/07/2024,12131.3,البحر الأحمر,33
RS/177,شركة تيتان العالمية المحدودة,23/07/2024,27602.2,البحر الأحمر,28
RS/178,شركة الكتلة الذهبية للتعدين المحدودة,24/07/2024,43130.7,البحر الأحمر,32
RS/179,أعمال بانوراما للإستيراد والتصدير,24/07/2024,4085.5,البحر الأحمر,24
RS/180,شركة تالين قولد للإستيراد والتصدير,24/07/2024,2104.1,البحر الأحمر,26
RS/181,شركة المنجز للإستيراد والتصدير,28/07/2024,1285.9,البحر الأحمر,5
RS/182,شركة مراسي للأنشطة المتعددة,29/07/2024,10489.7,البحر الأحمر,25
RS/183,شركة أولاد محي الدين المحدودة,30/07/2024,18799.8,البحر الأحمر,1
RS/184,شركة أعمال التعدين المتقدمة,04/08/2024,1113.5,البحر الأحمر,15
RS/185,شركة إم بي أس للتجارة والإستثمار المحدودة,04/08/2024,10746.5,البحر الأحمر,47
RS/186,شركة أعمال التعدين المتقدمة,06/08/2024,5328.3,البحر الأحمر,15
RS/187,شركة شاهقات العالمية للإستثمار المحدودة,06/08/2024,15133.8,البحر الأحمر,27
RS/188,شركة أعمال التعدين المتقدمة,08/08/2024,24163.6,البحر الأحمر,15
RS/189,شركة مأموركومرا للأنشطة المتعددة,11/08/2024,22857.8,البحر الأحمر,10
RS/190,الشركة الفيصلية المحدودة,11/08/2024,1337.3,البحر الأحمر,6
RS/191,شركة وادي السبائك للأنشطة المتعددة,12/08/2024,1673.9,البحر الأحمر,35
RS/192,أعمال بانوراما للإستيراد والتصدير,12/08/2024,9652.2,البحر الأحمر,24
RS/193,أعمال أي كوم التجارية,13/08/2024,6569.9,البحر الأحمر,7
RS/194,الشركة الفيصلية المحدودة,13/08/2024,5788.6,البحر الأحمر,6
RS/195,شركة سورس للتنمية المحدودة,14/08/2024,4566.1,البحر الأحمر,48
RS/196,أعمال أي كوم التجارية,15/08/2024,5812.9,البحر الأحمر,7
RS/197,أعمال علي محمد إبراهيم,15/08/2024,4728.5,البحر الأحمر,8
RS/198,أعمال أي كوم التجارية,18/08/2024,19978.2,البحر الأحمر,7
RS/199,أعمال علي محمد إبراهيم,18/08/2024,4516.5,البحر الأحمر,8
RS/200,أعمال علي محمد إبراهيم,19/08/2024,2269.2,البحر الأحمر,8
RS/201,شركة مصفاة السودان للذهب المحدودة,19/08/2024,36702.6,البحر الأحمر,29
RS/202,أعمال أي كوم التجارية المحدودة ( كسلا),20/08/2024,3263.8,البحر الأحمر,7
RS/203,أعمال التعدين المتقدمة المحدودة,21/08/2024,33203.6,البحر الأحمر,15
RS/204,أعمال علي محمد إبراهيم,21/08/2024,1114.7,البحر الأحمر,8
RS/205,شركة تالين قولد للإستيراد والتصدير,22/08/2024,3524.2,البحر الأحمر,26
RS/206,شركة المنجز للإستيراد والتصدير,22/08/2024,2872,البحر الأحمر,5
RS/207,الشركة الفيصلية المحدودة,25/08/2024,5244.6,البحر الأحمر,6
RS/208,شركة علقم للأنشطة المتعددة,25/08/2024,2149.4,البحر الأحمر,9
RS/209,شركة وادي السبائك للأنشطة المتعددة,25/08/2024,4573.4,البحر الأحمر,35
RS/210,أعمال بانوراما للإستيراد والتصدير,26/08/2024,7446.7,البحر الأحمر,24
RS/211,أعمال مصري ضي النور للإستيراد,26/08/2024,332,البحر الأحمر,55
RS/212,أعمال التعدين المتقدمة المحدودة,27/08/2024,28233.1,البحر الأحمر,15
RS/213,شركة كونتننتال للبترول المحدودة,27/08/2024,1988.4,البحر الأحمر,52
RS/214,الشركة الفيصلية المحدودة,28/08/2024,8831.5,البحر الأحمر,6
RS/215,شركة وادي السبائك للأنشطة المتعددة,29/08/2024,7557.5,البحر الأحمر,35
RS/216,أعمال علي محمد إبراهيم,29/08/2024,2441.8,البحر الأحمر,8
RS/217,شركة المنجز للإستيراد والتصدير,01/09/2024,4361.6,البحر الأحمر,5
RS/218,أعمال أي كوم التجارية المحدودة,01/09/2024,7252.2,البحر الأحمر,7
RS/219,شركة ماتريكس العالمية المحدودة,04/09/2024,15662,البحر الأحمر,50
RS/220,أعمال مصري ضي النورللإستيرادوالتصدير,04/09/2024,11287.3,البحر الأحمر,55
RS/221,أعمال مصري ضي النورللإستيرادوالتصدير,05/09/2024,675.1,البحر الأحمر,55
RS/222,أعمال علي محمد إبراهيم التجارية,05/09/2024,1766.6,البحر الأحمر,8
RS/223,شركة المنجز للإستيراد والتصدير,08/09/2024,4767.8,البحر الأحمر,5
